F,Fcond,Fage,Fweight,Mlow,MLowAge,MLowWeight,Mhigh,MHighAge,MHighWeight,Cond (Lt/S),Date,TOD,Age (L-H),High Age,Weight (L-H),High Weight,1st Court Male,1st Court Time,1st Cop Male,1st cop Time,Court-Cop
m001,high,23,0.2585,m212,37,0.0987,m187,34,0.1821,+/+,24-Jul,14:48,3,l,-0.0834,h,l,0:00:22,h,0:02:55,0:02:33
m002,high,24,0.1648,m216,14,0.083,m013,17,0.1085,+/+,25-Jul,11:10,-3,h,-0.0255,h,l,0:02:05,na,,
m003,high,25,0.1467,m326,32,0.0878,m240,32,0.1076,+/-,22-Jul,13:00,0,t,-0.0198,h,h,0:01:15,na,,
m004,high,25,0.1535,m209,28,0.086,m281,28,0.1267,+/-,22-Jul,14:02,0,t,-0.0407,h,h,0:00:24,l,0:29:31,0:29:07
m007,high,24,0.1924,m212,31,0.104,m227,31,0.1655,-/+,18-Jul,11:10,0,t,-0.0615,h,h,0:08:23,h,0:17:25,0:09:02
m009,high,22,0.1881,m274,32,0.1113,m237,29,0.1185,-/-,19-Jul,14:03,3,l,-0.0072,h,l,0:00:46,na,,
m011,high,24,0.1769,m259,14,0.0997,m159,14,0.1112,+/-,25-Jul,11:10,0,t,-0.0115,h,l,0:00:23,na,,
m014,high,23,0.1243,m039,26,0.0692,m281,29,0.1271,-/-,23-Jul,10:07,-3,h,-0.0579,h,h,0:00:37,l,0:09:09,0:08:32
m015,high,25,0.1457,m269,32,0.1262,m240,29,0.1135,-/+,19-Jul,14:03,3,l,0.0127,l,,,na,,
m016,high,25,0.1611,m221,32,0.0923,m187,32,0.1986,+/-,22-Jul,13:00,0,t,-0.1063,h,h,0:00:18,na,,
m017,high,25,0.1577,m207,25,0.1144,m277,25,0.1783,-/+,22-Jul,11:39,0,t,-0.0639,h,l,0:02:45,h,0:03:52,0:01:07
m018,high,23,0.1939,m144,16,0.0675,m284,18,0.15,-/-,27-Jul,10:27,-2,h,-0.0825,h,h,0:04:35,h,0:16:10,0:11:35
m019,high,25,0.1776,m039,25,0.0676,m234,25,0.0989,+/-,22-Jul,13:00,0,t,-0.0313,h,h,0:00:26,h,0:02:21,0:01:55
m020,high,23,0.2109,m259,9,0.1131,m284,11,0.1505,-/+,20-Jul,10:30,-2,h,-0.0374,h,,,l,,
m023,high,26,0.1747,m266,24,0.1426,m198,21,0.1487,+/-,11-Jul,18:09,3,l,-0.0061,h,h,0:00:25,l,0:02:14,0:01:49
m024,high,25,0.1798,m266,35,0.1151,m192,35,0.2047,+/-,22-Jul,13:00,0,t,-0.0896,h,h,0:01:32,h,0:02:39,0:01:07
m030,low,24,0.0878,m224,31,0.1761,m192,31,0.2003,-/+,18-Jul,11:10,0,t,-0.0242,h,l,0:00:35,na,,
m032,low,24,0.1074,m213,28,0.1011,m245,28,0.1295,-/-,18-Jul,12:27,0,t,-0.0284,h,h,0:01:08,h,0:04:02,0:02:54
